Goldfish Swim School,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by Mile Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 9 Years and Under (with Household Incomes Greater than $100K and All Children),,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Elmhurst, IL",Chicago IL,636,"1,401","1,863","5,011","4,392","13,907","7,509","25,925","10,246","38,045","12,924","48,933","18,598","69,624","28,872","99,930","42,466","142,398","55,618","194,063","16,179","58,591","49,914","173,111","104,865","361,586"
"Evanston, IL",Chicago IL,"1,343","3,716","5,165","13,886","9,473","29,964","13,695","44,956","18,562","61,625","26,922","90,987","37,910","121,293","51,127","161,322","63,786","203,838","75,056","241,421","21,029","67,518","42,312","137,380","82,836","248,278"
"Fairview Park, OH",Cleveland-Akron (Canton) OH,317,"1,402",938,"4,640","2,225","9,309","3,888","17,848","5,675","27,206","7,458","37,038","9,251","47,164","11,702","60,459","13,697","70,267","15,580","77,459","6,319","32,751","12,750","69,247","19,959","105,172"
"Falls Church, VA",Washington DC (Hagerstown MD),"1,784","3,986","5,794","10,977","12,196","22,524","20,238","37,062","31,628","58,762","44,462","85,479","57,495","109,348","72,683","135,104","91,275","166,011","111,272","204,573","46,752","90,117","85,635","158,935","147,224","272,453"
"Farmingdale, NY",New York NY,953,"2,151","2,366","5,018","5,970","12,700","11,419","24,032","19,624","41,330","27,283","56,904","35,278","71,985","41,796","85,098","48,845","101,018","57,033","119,539","34,431","70,873","58,822","125,235","86,180","182,200"
"Farmington Hills, MI",Detroit MI,430,"1,113","1,503","4,201","2,786","7,844","5,100","12,858","7,738","19,647","10,145","27,283","12,937","37,333","16,394","49,126","19,740","61,536","23,305","74,663","12,936","39,879","26,834","94,912","43,558","170,600"
"Fishers, IN",Indianapolis IN,746,"1,266","2,602","4,486","3,792","6,949","5,801","11,760","7,474","16,895","9,585","22,857","10,660","26,401","11,895","31,971","13,668","38,207","16,107","47,924","10,094","25,823","15,218","48,717","21,818","83,047"
"Fort Washington, PA",Philadelphia PA,213,437,"1,218","2,665","2,939","6,547","5,591","13,272","8,947","23,583","12,946","37,448","17,760","54,884","24,355","82,267","31,852","114,752","39,783","153,103","8,459","24,262","20,820","65,530","40,036","135,591"
"Fulshear, TX",Houston TX,"1,105","1,544","2,455","3,586","5,415","7,918","8,923","13,181","12,203","18,198","15,556","24,003","19,400","33,044","23,000","41,902","26,094","49,584","29,395","59,046","18,613","31,101","30,837","68,421","51,470","146,276"
"Garden City, NY",New York NY,559,944,"3,805","9,990","9,626","22,798","17,215","37,394","27,809","57,161","38,064","79,937","50,920","106,529","64,290","135,652","76,799","164,301","89,238","198,712","32,169","65,989","67,324","141,494","112,222","277,519"
"Glen Ellyn, IL",Chicago IL,715,"1,593","2,860","6,638","5,072","12,673","8,066","21,064","11,590","31,133","16,058","44,302","22,857","61,347","29,660","78,131","36,591","96,429","43,974","116,257","17,413","49,031","37,356","103,241","67,388","193,246"
"Grand Rapids, MI",Grand Rapids-Kalamazoo-Battle Creek MI,167,396,636,"1,235","1,145","2,656","1,876","4,775","2,913","8,172","3,998","12,289","5,702","18,971","7,356","28,972","8,966","40,785","10,332","50,533","4,850","17,530","11,030","57,486","15,550","78,672"
"Henrico, VA",Richmond-Petersburg VA,359,"1,420","1,457","4,559","3,525","10,219","5,317","15,165","7,953","22,328","10,430","28,729","12,906","35,350","14,678","43,794","16,705","52,945","18,620","62,804","9,645","27,625","16,177","52,978","24,245","89,527"
"Hudson, OH",Cleveland-Akron (Canton) OH,110,202,302,562,805,"1,530","1,896","4,024","2,759","6,498","3,684","10,306","4,952","16,135","6,714","23,340","8,430","29,995","10,174","37,326","5,460","22,131","10,027","51,300","19,211","88,919"
Johns Creek,Atlanta GA,457,834,"1,747","3,701","4,209","9,466","7,886","16,564","11,736","24,572","15,719","35,325","20,710","50,608","26,966","70,569","33,217","92,239","40,053","117,698","17,917","42,747","35,650","103,313","64,948","191,806"
"Livingston, NJ",New York NY,422,658,"1,840","2,980","3,161","5,244","5,303","9,084","9,910","17,229","17,402","32,436","26,211","55,770","35,525","84,681","45,257","115,405","55,707","148,433","13,483","28,969","36,729","97,633","66,290","186,931"
"Macomb, MI",Detroit MI,475,"1,447","1,820","6,599","3,869","13,088","5,680","20,403","7,374","27,765","9,523","37,654","11,628","46,977","13,955","58,482","16,859","70,307","19,917","82,375","13,686","54,233","22,828","89,006","31,410","132,809"
"Malvern, PA",Philadelphia PA,231,494,739,"1,601","1,417","3,006","2,604","5,316","4,338","8,813","6,679","14,190","9,437","21,062","12,355","26,726","15,549","33,087","19,005","40,439","8,271","18,135","18,445","41,823","30,688","71,321"
"Marlborough, MA",Boston MA (Manchester NH),142,313,687,"1,772","1,601","4,066","2,800","7,088","4,267","10,430","5,550","12,628","7,579","16,445","9,643","20,834","12,161","26,019","15,672","35,282","6,366","14,297","14,562","35,075","28,217","71,842"
"Middletown, NJ",New York NY,326,670,976,"2,047","2,877","6,065","5,470","10,589","7,309","14,421","8,979","19,047","11,215","24,479","13,287","30,115","15,228","34,991","17,156","38,921","9,275","20,732","15,150","36,024","23,628","57,866"
"Milford, MA",Boston MA (Manchester NH),153,349,702,"1,892","1,773","4,356","2,928","6,506","4,170","8,709","5,545","11,264","7,232","14,678","9,237","18,526","11,680","23,634","14,658","32,471","5,253","10,960","10,929","22,456","21,664","50,664"
"Mt Laurel, NJ",Philadelphia PA,133,421,"1,036","2,472","2,374","5,317","4,586","9,983","7,086","17,135","10,036","26,043","13,671","36,183","17,040","46,542","22,407","66,729","28,511","93,386","12,816","32,204","24,554","68,280","40,294","143,815"
"Mundelein, IL",Chicago IL,384,"1,332","2,311","6,007","4,102","8,873","5,600","11,267","6,740","13,160","8,731","16,608","12,609","25,202","17,731","38,648","23,901","52,971","29,715","68,985","12,552","26,744","27,178","61,110","44,756","106,625"
"Naperville, IL",Chicago IL,509,"1,266","2,514","6,199","4,738","11,189","8,943","19,038","13,606","29,989","19,702","45,234","25,821","61,356","31,926","79,666","38,094","96,224","45,050","113,019","18,851","42,140","34,284","85,572","53,957","135,093"
"Needham, MA",Boston MA (Manchester NH),453,869,"2,920","4,706","6,137","10,297","10,442","19,152","17,821","38,189","26,829","62,288","34,671","87,729","49,062","123,427","61,765","152,820","70,466","172,805","16,878","34,768","35,640","84,079","69,800","170,478"
"Northbrook, IL",Chicago IL,652,"1,137","1,551","2,696","3,364","6,073","6,897","13,730","10,332","21,962","14,672","34,157","19,839","47,361","26,527","62,836","33,461","81,254","40,040","99,554","16,235","39,282","34,868","86,531","59,997","161,517"
"Norwalk, CT",New York NY,940,"2,866","2,837","7,926","4,641","11,765","6,564","14,635","8,277","17,043","10,434","20,414","12,857","24,908","16,783","33,240","20,377","40,393","23,033","45,531","10,482","22,798","20,942","42,316","31,608","69,566"
"Norwood, MA",Boston MA (Manchester NH),336,810,"1,367","3,366","2,634","6,064","4,344","9,557","6,049","12,737","7,981","16,959","10,629","23,484","14,230","32,221","19,558","44,920","25,892","61,620","7,031","15,495","20,109","44,909","42,015","101,167"
